id,description,price,mileage,year,age,transmission,size,power,fuel
119,Nissan Juke 1.6 DiG-T Nismo RS [Recaro Pack] 5dr Air Conditioning,13445,22007,2015,3,Manual,1.6,215,Petrol
120,Nissan Juke 1.6 NISMO RS DIG-T 5d 218 BHP Sat Nav,13350,21000,2015,3,Manual,1.6,215,Petrol
122,Nissan Juke 1.6 DiG-T Nismo RS 5dr,13340,13081,2016,2,Manual,1.6,215,Petrol
123,Nissan Juke 1.6 DiG-T Nismo RS 5dr,13310,10831,2016,2,Manual,1.6,215,Petrol
124,Nissan Juke 1.6 DIG-T Nismo RS 5dr,13300,11540,2015,3,Manual,1.6,215,Petrol
125,Nissan Juke 1.6 DIG-T Nismo RS 5dr,13295,23500,2015,3,Manual,1.6,215,Petrol
126,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,13295,3199,2015,3,Manual,1.6,215,Petrol
127,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,13275,25000,2016,2,Manual,1.6,215,Petrol
128,Nissan Juke 1.6 DIG-T Nismo RS M-Xtronic 4WD 5dr,13250,30000,2015,3,Automatic,1.6,211,Petrol
129,Nissan Juke 1.6 DIG-T Nismo RS 5dr,13240,14000,2016,2,Manual,1.6,215,Petrol
130,Nissan Juke 1.6 DIG-T Nismo RS 5dr,13180,18260,2015,3,Manual,1.6,215,Petrol
131,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,13170,9414,2015,3,Manual,1.6,215,Petrol
133,Nissan Juke 1.6 DiG-T Nismo RS 5dr 2WD,13100,18727,2015,3,Manual,1.6,215,Petrol
134,Nissan Juke 1.6 DIG-T Nismo RS M-Xtronic 4WD 5dr,13029,28045,2015,3,Automatic,1.6,211,Petrol
135,Nissan Juke 1.6 DIG-T Nismo RS 5dr,13000,9000,2016,2,Manual,1.6,215,Petrol
136,Nissan Juke 1.6 Nismo RS Xtronic CVT 4WD 5dr,12999,30910,2015,3,Automatic,1.6,211,Petrol
137,Nissan Juke 1.6 NISMO RS DIG-T 5dr,12999,9900,2016,2,Manual,1.6,215,Petrol
138,Nissan Juke 1.6 NISMO RS DIG-T 5dr Full Service History,12995,13640,2015,3,Manual,1.6,215,Petrol
139,Nissan Juke 1.6 DiG-T Nismo RS - Nav and Rear Camera 5dr,12994,10724,2015,3,Manual,1.6,215,Petrol
140,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12991,35000,2014,4,Manual,1.6,215,Petrol
141,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12900,15592,2015,3,Manual,1.6,215,Petrol
142,Nissan Juke 1.6 DiG-T Nismo RS 5dr,12900,18510,2015,3,Manual,1.6,215,Petrol
144,Nissan Juke 1.6 DiG-T Nismo RS 5dr,12841,16702,2015,3,Manual,1.6,215,Petrol
145,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12750,11900,2015,3,Manual,1.6,215,Petrol
146,Nissan Juke 1.6 DIG-T Nismo RS M-Xtronic 4WD 5dr,12750,38869,2016,2,Automatic,1.6,211,Petrol
147,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12700,30029,2015,3,Manual,1.6,215,Petrol
148,Nissan Juke 1.6 DiG-T Nismo RS 5dr 2WD,12699,38331,2015,3,Manual,1.6,215,Petrol
149,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12695,26000,2015,3,Manual,1.6,215,Petrol
150,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12690,39000,2015,3,Manual,1.6,215,Petrol
151,Nissan Juke 1.6 DiG-T Nismo RS 5dr,12660,12675,2015,3,Manual,1.6,215,Petrol
152,Nissan Juke 1.6 DiG-T Nismo RS 5dr,12600,26018,2015,3,Manual,1.6,215,Petrol
153,Nissan Juke 1.6 DiG-T Nismo RS 5dr 2WD Recaro,12500,33600,2015,3,Manual,1.6,215,Petrol
155,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12500,18700,2015,3,Manual,1.6,215,Petrol
156,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12499,31000,2016,2,Manual,1.6,215,Petrol
157,Nissan Juke 1.6 4X4 Nismo RS 5-Door Hatchback +SAT NAV+ 5dr,12497,19685,2014,4,Automatic,1.6,211,Petrol
158,Nissan Juke 1.6 DiG-T Nismo RS 5dr,12495,13000,2015,3,Manual,1.6,215,Petrol
159,Nissan Juke NISMO RS DIG-T 1.6 5dr,12495,28000,2016,2,Manual,1.6,215,Petrol
160,Nissan Juke Hatchback 5-Door 1.6 DIG-T Nismo RS 5dr,12495,18341,2014,4,Manual,1.6,215,Petrol
161,Nissan Juke 1.6 DiG-T Nismo RS 5dr,12495,14178,2015,3,Manual,1.6,215,Petrol
162,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12490,15844,2016,2,Manual,1.6,215,Petrol
163,Nissan Juke 1.6 DiG-T Nismo RS 5dr #FULL SERVICE HISTORY#,12490,28000,2015,3,Manual,1.6,215,Petrol
164,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12469,32057,2015,3,Manual,1.6,215,Petrol
166,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,12355,35612,2015,3,Manual,1.6,215,Petrol
167,Nissan Juke 1.6 DIG-T Nismo RS 5dr,12250,34250,2014,4,Manual,1.6,215,Petrol
168,Nissan Juke 1.6 NISMO RS DIG-T 5d 215 BHP PEARL BLACK,12250,25956,2015,3,Manual,1.6,215,Petrol
169,Nissan Juke 1.6 NISMO RS DIG-T 5d 215 BHP,12194,26000,2015,3,Manual,1.6,215,Petrol
170,Nissan Juke 1.6 DiG-T Nismo RS 4x2 5dr,12000,23062,2015,3,Manual,1.6,215,Petrol
171,Nissan Juke 1.6 DIG-T Nismo RS 5dr,11999,40000,2015,3,Manual,1.6,215,Petrol
172,Nissan Juke 1.6 DiG-T Nismo RS 5dr,11997,17587,2016,2,Manual,1.6,215,Petrol
173,Nissan Juke NISMO RS DIG-T 1.6 5dr,11980,42568,2015,3,Manual,1.6,215,Petrol
174,Nissan Juke 1.6 DIG-T Nismo RS 5dr,11900,27400,2014,4,Manual,1.6,215,Petrol
175,Nissan Juke 1.6 DiG-T Nismo RS 5dr - LANE DEPARTURE - REVERSE CAM &hellip;,11898,29788,2015,3,Manual,1.6,215,Petrol
